Le robot s'est bien connecté au serveur !
L'adresse IP est : 100.75.155.134
TCPClient : Connexion
Temps :  0.1325331 ; pos : (0.21985, 0.21985) ; rot : 0.01415911
Temps :  0.2390554 ; pos : (0.21986, 0.21986) ; rot : 0.01404883
Temps :  0.3450935 ; pos : (0.21985, 0.21985) ; rot : 0.01417842
Temps :  0.4516237 ; pos : (0.21986, 0.21986) ; rot : 0.01401256
Temps :  0.5558228 ; pos : (0.21985, 0.21985) ; rot : 0.01400945
Temps :  0.6609325 ; pos : (0.21986, 0.21986) ; rot : 0.01400385
Temps :  0.7664552 ; pos : (0.21987, 0.21987) ; rot : 0.01358045
Temps :  0.8719795 ; pos : (0.21986, 0.21986) ; rot : 0.01381643
Temps :  0.9775076 ; pos : (0.21986, 0.21986) ; rot : 0.01409371
MOVE pannel
Temps :  1.0840368 ; pos : (0.21985, 0.21985) ; rot : 0.01415161
Temps :  1.1895554 ; pos : (0.21986, 0.21986) ; rot : 0.01399526
Temps :  1.2940989 ; pos : (0.21795, 0.21795) ; rot : 0.01237339
Temps :  1.3996103 ; pos : (0.21846, 0.21846) ; rot : 0.02889788
Temps :  1.5051689 ; pos : (0.21976, 0.21976) ; rot : 0.04622466
Temps :  1.6109395 ; pos : (0.22083, 0.22083) ; rot : 0.00416251
Temps :  1.7164605 ; pos : (0.22033, 0.22033) ; rot : 0.00795750
Temps :  1.8219759 ; pos : (0.21831, 0.21831) ; rot : 0.02861434
Temps :  1.9275107 ; pos : (0.21953, 0.21953) ; rot : 0.01307453
Temps :  2.0330355 ; pos : (0.21906, 0.21906) ; rot : 0.00968393
Temps :  2.1385682 ; pos : (0.21924, 0.21924) ; rot : 0.01446609
Temps :  2.2456162 ; pos : (0.22007, 0.22007) ; rot : 0.01214244
Temps :  2.3501310 ; pos : (0.22101, 0.22101) ; rot : 0.00966732
Temps :  2.4556842 ; pos : (0.23883, 0.23883) ; rot : 6.15951197
Temps :  2.5607345 ; pos : (0.24021, 0.24021) ; rot : 6.15861273
Temps :  2.6662645 ; pos : (0.24229, 0.24229) ; rot : 6.14787989
Temps :  2.7717879 ; pos : (0.24324, 0.24324) ; rot : 6.15879053
Temps :  2.8773432 ; pos : (0.22824, 0.22824) ; rot : 0.01946889
Temps :  2.9828579 ; pos : (0.23004, 0.23004) ; rot : 0.01536721
Temps :  3.0879667 ; pos : (0.23242, 0.23242) ; rot : 0.02307327
Temps :  3.1939907 ; pos : (0.23454, 0.23454) ; rot : 6.27566315
Temps :  3.2985063 ; pos : (0.23559, 0.23559) ; rot : 0.01103221
Temps :  3.4040270 ; pos : (0.24302, 0.24302) ; rot : 6.22894573
Temps :  3.5105474 ; pos : (0.24367, 0.24367) ; rot : 0.01399126
Temps :  3.6150670 ; pos : (0.24809, 0.24809) ; rot : 0.01597689
Temps :  3.7204125 ; pos : (0.25164, 0.25164) ; rot : 6.28242627
Temps :  3.8259363 ; pos : (0.25494, 0.25494) ; rot : 0.01456257
Temps :  3.9321806 ; pos : (0.25907, 0.25907) ; rot : 0.00157240
Temps :  4.0367029 ; pos : (0.26409, 0.26409) ; rot : 0.00685591
Temps :  4.1422231 ; pos : (0.26885, 0.26885) ; rot : 6.27057030
Temps :  4.2482498 ; pos : (0.27333, 0.27333) ; rot : 6.28304729
Temps :  4.3537724 ; pos : (0.27763, 0.27763) ; rot : 0.02025293
Temps :  4.4593070 ; pos : (0.28360, 0.28360) ; rot : 6.22903789
Temps :  4.5648267 ; pos : (0.28875, 0.28875) ; rot : 6.24949541
Temps :  4.6703503 ; pos : (0.29339, 0.29339) ; rot : 0.01558384
Temps :  4.7758675 ; pos : (0.29861, 0.29861) ; rot : 0.00797879
Temps :  4.8813848 ; pos : (0.30452, 0.30452) ; rot : 6.28218807
Temps :  4.9879220 ; pos : (0.31032, 0.31032) ; rot : 0.01990359
Temps :  5.0934498 ; pos : (0.31602, 0.31602) ; rot : 0.01271942
Temps :  5.1979754 ; pos : (0.32264, 0.32264) ; rot : 0.02960997
Temps :  5.3034928 ; pos : (0.33173, 0.33173) ; rot : 0.03464346
Temps :  5.4090238 ; pos : (0.33917, 0.33917) ; rot : 0.00988220
Temps :  5.5145762 ; pos : (0.34649, 0.34649) ; rot : 0.01589120
Temps :  5.6200607 ; pos : (0.35455, 0.35455) ; rot : 0.01236751
Temps :  5.7256110 ; pos : (0.36218, 0.36218) ; rot : 0.00586430
Temps :  5.8311529 ; pos : (0.37051, 0.37051) ; rot : 6.28179418
Temps :  5.9366763 ; pos : (0.37885, 0.37885) ; rot : 0.01092459
Temps :  6.0418119 ; pos : (0.39137, 0.39137) ; rot : 6.27265441
Temps :  6.1488442 ; pos : (0.40090, 0.40090) ; rot : 6.26918608
Temps :  6.2533641 ; pos : (0.41107, 0.41107) ; rot : 6.28187627
Temps :  6.3588827 ; pos : (0.42054, 0.42054) ; rot : 0.00864938
Temps :  6.4644017 ; pos : (0.42849, 0.42849) ; rot : 6.28136233
Temps :  6.5699348 ; pos : (0.43777, 0.43777) ; rot : 0.01387940
Temps :  6.6754527 ; pos : (0.46071, 0.46071) ; rot : 6.21462845
Temps :  6.7810054 ; pos : (0.44766, 0.44766) ; rot : 0.01142232
Temps :  6.8865225 ; pos : (0.45321, 0.45321) ; rot : 0.01071975
Temps :  6.9920530 ; pos : (0.47416, 0.47416) ; rot : 6.17909700
Temps :  7.0975738 ; pos : (0.45653, 0.45653) ; rot : 0.00428009
Temps :  7.2030931 ; pos : (0.47678, 0.47678) ; rot : 6.15160531
Temps :  7.3086185 ; pos : (0.47672, 0.47672) ; rot : 6.15340097
Temps :  7.4141572 ; pos : (0.47695, 0.47695) ; rot : 6.14715203
Temps :  7.5196803 ; pos : (0.47674, 0.47674) ; rot : 6.15295115
Temps :  7.6252403 ; pos : (0.47703, 0.47703) ; rot : 6.14523287
Temps :  7.7307737 ; pos : (0.47700, 0.47700) ; rot : 6.14591363
Temps :  7.8363037 ; pos : (0.47674, 0.47674) ; rot : 6.15386330
Temps :  7.9423876 ; pos : (0.47650, 0.47650) ; rot : 6.16052539
